Timestamp,What is your Gender,How old are you?,"Do you have any old unused electronic devices (phones, tablets, laptops, computers) at home? How many?","Have you ever sent any of your devices (phones, tablets, laptops, computers) for recycling?","If you don't send them for recycling, what is your reason? (please tick all that apply)","If you are afraid that your data might be abused: If you could track your device during the recycling process and see which companies take care of it, would that encourage you to submit your devices in the future?",Anything else you would like to add?
24.04.2023 15:55:42,Male,19-29,2-3,No,"I have not had the time yet to send them in., I do not know where to submit these items for recycling., I might need the device someday.",No,
24.04.2023 15:55:54,Male,30-39,1,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling., I might need the device someday.",Yes,
24.04.2023 15:57:13,Male,50-59,4-6,Yes,"I have not had the time yet to send them in., I might need the device someday.",Yes,
24.04.2023 15:58:53,Male,19-29,1,No,"I have not had the time yet to send them in., I might need the device someday.",Yes,
24.04.2023 15:59:46,Female,19-29,1,Yes,,No,
24.04.2023 16:03:00,Male,19-29,4-6,No,"I have not had the time yet to send them in., I do not see the value of it., I might need the device someday.",,
24.04.2023 16:05:03,Female,50-59,4-6,Yes,"I am afraid that my data on these devices may be abused., I might need the device someday.",No,
24.04.2023 16:07:57,Male,30-39,2-3,No,"I am afraid that my data on these devices may be abused., I have not had the time yet to send them in., I do not know where to submit these items for recycling., I do not see the value of it., I might need the device someday., I do not know that these items are recyclable.",Yes,
24.04.2023 16:09:55,Male,60+,2-3,Yes,,No,
24.04.2023 16:10:27,Male,19-29,2-3,No,"I might need the device someday., Another reason.",No,
24.04.2023 16:12:02,Male,19-29,2-3,No,I might need the device someday.,No,
24.04.2023 16:17:16,Male,30-39,2-3,No,Another reason.,Yes,
24.04.2023 16:17:50,Female,30-39,2-3,Yes,I might need the device someday.,No,
24.04.2023 16:28:43,Male,30-39,2-3,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling., I might need the device someday.",Yes,
24.04.2023 16:30:27,Female,40-49,4-6,Yes,,Yes,
24.04.2023 16:32:05,Male,40-49,2-3,Yes,,No,
24.04.2023 16:33:48,Male,30-39,4-6,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling., I might need the device someday.",No,
24.04.2023 16:37:02,Male,40-49,7+,No,"I might need the device someday., Another reason.",No,
24.04.2023 16:44:43,Other,19-29,1,Yes,"I have not had the time yet to send them in., I might need the device someday.",No,
24.04.2023 16:45:41,Male,19-29,7+,No,I might need the device someday.,Yes,
24.04.2023 16:50:57,Male,19-29,2-3,Yes,I have not had the time yet to send them in.,,
24.04.2023 16:53:54,Male,30-39,0,No,I do not know where to submit these items for recycling.,No,
24.04.2023 17:00:10,Female,50-59,0,No,"I am afraid that my data on these devices may be abused., I do not see the value of it.",No,
24.04.2023 17:07:14,Female,60+,2-3,Yes,I am afraid that my data on these devices may be abused.,Yes,
24.04.2023 17:08:46,Male,30-39,1,No,I might need the device someday.,Yes,
24.04.2023 17:18:48,Male,19-29,2-3,No,"I do not know where to submit these items for recycling., I might need the device someday., I do not know that these items are recyclable.",,
24.04.2023 17:25:38,Male,30-39,1,No,"I am afraid that my data on these devices may be abused., I do not know that these items are recyclable.",No,
24.04.2023 17:27:11,Male,60+,4-6,Yes,I might need the device someday.,No,
24.04.2023 17:43:09,Male,50-59,7+,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling., I might need the device someday.",No,
24.04.2023 18:07:27,Male,30-39,2-3,No,"I do not know where to submit these items for recycling., I might need the device someday.",Yes,
24.04.2023 18:08:32,Female,30-39,2-3,No,"I am afraid that my data on these devices may be abused., I might need the device someday.",Yes,
24.04.2023 18:14:49,Male,40-49,2-3,Yes,I might need the device someday.,No,
24.04.2023 18:22:31,Male,50-59,2-3,Yes,,Yes,
24.04.2023 18:23:08,Male,30-39,2-3,No,"I am afraid that my data on these devices may be abused., I might need the device someday.",Yes,
24.04.2023 18:32:27,Male,19-29,2-3,No,I am afraid that my data on these devices may be abused.,No,
24.04.2023 19:46:35,Female,40-49,2-3,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling.",No,
24.04.2023 20:55:07,Male,50-59,2-3,Yes,I might need the device someday.,No,
24.04.2023 20:57:14,Male,30-39,1,Yes,,,
24.04.2023 21:03:17,Male,50-59,7+,No,"I am afraid that my data on these devices may be abused., I might need the device someday.",No,
24.04.2023 21:16:57,Male,19-29,7+,No,Another reason.,No,
24.04.2023 21:39:12,Male,50-59,4-6,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling.",Yes,
24.04.2023 22:02:54,Female,40-49,4-6,No,"I am afraid that my data on these devices may be abused., I have not had the time yet to send them in.",Yes,
24.04.2023 22:04:25,Female,30-39,4-6,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling.",Yes,
25.04.2023 07:41:02,Female,30-39,7+,No,I am afraid that my data on these devices may be abused.,No,
25.04.2023 07:43:51,Male,40-49,2-3,No,"I do not see the value of it., I might need the device someday.",No,
25.04.2023 07:58:51,Female,50-59,7+,No,"I have not had the time yet to send them in., Another reason.",No,
25.04.2023 08:00:28,Female,40-49,2-3,No,"I have not had the time yet to send them in., I do not know where to submit these items for recycling.",Yes,
25.04.2023 08:02:51,Female,60+,4-6,No,"I am afraid that my data on these devices may be abused., I have not had the time yet to send them in.",No,
25.04.2023 08:03:47,Female,30-39,4-6,No,"I might need the device someday., Another reason.",,
25.04.2023 08:06:36,Female,40-49,2-3,Yes,"I have not had the time yet to send them in., I might need the device someday.",No,
25.04.2023 08:10:50,Female,50-59,2-3,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling., I might need the device someday.",Yes,
25.04.2023 08:16:22,Female,50-59,4-6,Yes,"I am afraid that my data on these devices may be abused., Another reason.",No,
25.04.2023 08:24:38,Female,50-59,4-6,No,"I am afraid that my data on these devices may be abused., I have not had the time yet to send them in.",No,
25.04.2023 08:30:31,Female,40-49,2-3,No,"I am afraid that my data on these devices may be abused., I have not had the time yet to send them in., I might need the device someday.",Yes,
25.04.2023 08:36:06,Female,40-49,2-3,Yes,Another reason.,Yes,
25.04.2023 08:40:29,Female,19-29,0,No,"I have not had the time yet to send them in., I do not know where to submit these items for recycling.",No,
25.04.2023 08:46:08,Female,40-49,4-6,Yes,I am afraid that my data on these devices may be abused.,No,
25.04.2023 08:50:12,Male,19-29,2-3,No,"I do not know where to submit these items for recycling., I might need the device someday., I do not know that these items are recyclable.",Yes,
25.04.2023 08:50:26,Female,19-29,2-3,No,"I am afraid that my data on these devices may be abused., I have not had the time yet to send them in., I do not know where to submit these items for recycling., I might need the device someday.",No,
25.04.2023 08:57:00,Male,50-59,1,Yes,,,
25.04.2023 08:58:24,Male,30-39,1,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling., I might need the device someday.",Yes,
25.04.2023 09:02:59,Female,19-29,2-3,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling., I might need the device someday.",Yes,
25.04.2023 09:05:11,Female,19-29,2-3,No,"I do not know where to submit these items for recycling., I might need the device someday.",,
25.04.2023 09:05:13,Male,19-29,2-3,No,"I have not had the time yet to send them in., I do not know where to submit these items for recycling., I might need the device someday., I do not know that these items are recyclable.",Yes,
25.04.2023 09:08:05,Female,50-59,2-3,Yes,"I do not know where to submit these items for recycling., I do not know that these items are recyclable.",,
25.04.2023 09:08:16,Female,50-59,7+,No,"I am afraid that my data on these devices may be abused., Another reason.",No,
25.04.2023 09:10:55,Male,0-18,2-3,Yes,"I do not know where to submit these items for recycling., I do not see the value of it., I might need the device someday.",,
25.04.2023 09:11:07,Female,50-59,7+,Yes,,Yes,
25.04.2023 09:17:48,Female,30-39,2-3,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling.",Yes,
25.04.2023 09:28:58,Female,19-29,0,Yes,"I have not had the time yet to send them in., I might need the device someday., Another reason.",,
25.04.2023 09:36:05,Male,50-59,2-3,Yes,,Yes,
25.04.2023 09:41:18,Female,19-29,2-3,No,"I do not know where to submit these items for recycling., I might need the device someday.",Yes,
25.04.2023 09:46:00,Male,50-59,2-3,Yes,I have not had the time yet to send them in.,Yes,
25.04.2023 09:49:38,Female,40-49,4-6,Yes,"I have not had the time yet to send them in., I might need the device someday.",,
25.04.2023 10:24:12,Female,30-39,2-3,Yes,I might need the device someday.,Yes,"When sending a broken laptop to recycling, I nevertheless remove and keep the hard disc. "
25.04.2023 10:39:27,Male,30-39,4-6,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling., I might need the device someday.",Yes,"I think a QR code which is added to the old laptop, phone... could be scanned throughout the recycling process to show the journey of the waste product."
25.04.2023 11:10:50,Female,30-39,2-3,Yes,"I might need the device someday., Another reason.",Yes,
25.04.2023 11:11:28,Female,19-29,2-3,No,I do not know where to submit these items for recycling.,No,
25.04.2023 11:20:10,Female,19-29,2-3,Yes,,Yes,
25.04.2023 11:29:30,Male,30-39,1,No,,Yes,
25.04.2023 11:39:41,Male,40-49,2-3,Yes,"I do not see the value of it., I might need the device someday.",No,gudd løkk
25.04.2023 11:40:30,Male,50-59,2-3,Yes,,No,
25.04.2023 12:43:20,Female,40-49,2-3,Yes,,No,
25.04.2023 12:45:52,Female,30-39,2-3,Yes,"I am afraid that my data on these devices may be abused., I have not had the time yet to send them in., I might need the device someday.",Yes,
25.04.2023 13:40:56,Female,50-59,2-3,Yes,I have not had the time yet to send them in.,Yes,
25.04.2023 14:09:28,Male,30-39,1,Yes,,Yes,
25.04.2023 15:23:41,Female,19-29,2-3,No,I am afraid that my data on these devices may be abused.,Yes,
25.04.2023 16:14:46,Female,60+,4-6,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling.",Yes,
25.04.2023 16:39:19,Female,30-39,7+,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling.",Yes,
25.04.2023 17:25:28,Male,19-29,0,No,"I am afraid that my data on these devices may be abused., I do not know where to submit these items for recycling., I do not see the value of it., I do not know that these items are recyclable.",Yes,
25.04.2023 21:39:52,Female,50-59,0,Yes,,,
25.04.2023 21:50:13,Male,40-49,7+,Yes,"I am afraid that my data on these devices may be abused., I have not had the time yet to send them in., I do not know where to submit these items for recycling.",No,
26.04.2023 06:17:51,Male,30-39,7+,Yes,"I have not had the time yet to send them in., I might need the device someday.",No,
26.04.2023 09:15:18,Male,30-39,2-3,No,"I do not know where to submit these items for recycling., I might need the device someday.",Yes,
26.04.2023 09:22:32,Male,50-59,2-3,No,I do not know where to submit these items for recycling.,Yes,
26.04.2023 09:26:02,Female,30-39,7+,No,"I am afraid that my data on these devices may be abused., I might need the device someday., Another reason.",Yes,
26.04.2023 10:19:33,Female,30-39,1,Yes,"I have not had the time yet to send them in., I might need the device someday.",No,"What would help is to see the company clear harddrives or similar when you deliver the device for recycling, or if it cannot be done there and then that they explain the procedure they use to ensure your personal data will be safe and permanently deleted. "
26.04.2023 13:44:47,Female,19-29,2-3,No,I might need the device someday.,Yes,
26.04.2023 16:12:36,Female,19-29,0,No,"I have not had the time yet to send them in., I do not know where to submit these items for recycling., I do not know that these items are recyclable.",Yes,
26.04.2023 16:17:49,Male,19-29,2-3,No,"I do not know where to submit these items for recycling., I do not see the value of it., I might need the device someday., I do not know that these items are recyclable.",,
